FechaHora,Temperatura
2025-02-22 01:18:44,21.4
2025-02-22 01:23:44,21.4
2025-02-22 01:28:44,21.2
2025-02-22 01:33:44,21.0
2025-02-22 01:38:44,20.8
2025-02-22 01:43:45,20.5
2025-02-22 01:48:45,20.5
2025-02-22 01:53:45,20.4
2025-02-22 01:58:45,20.4
2025-02-22 02:03:45,20.4
2025-02-22 02:08:46,20.3
2025-02-22 02:13:46,20.3
2025-02-22 02:18:46,20.3
2025-02-22 02:23:46,20.3
2025-02-22 02:28:47,20.3
2025-02-22 02:33:47,20.3
2025-02-22 02:38:47,20.3
2025-02-22 02:43:47,20.3
2025-02-22 02:48:47,20.2
2025-02-22 02:53:48,20.2
2025-02-22 02:58:48,20.1
2025-02-22 03:03:48,20.1
2025-02-22 03:08:48,20.0
2025-02-22 03:13:48,20.0
2025-02-22 03:18:49,20.0
2025-02-22 03:23:49,19.9
2025-02-22 03:28:49,19.9
2025-02-22 03:33:49,19.9
2025-02-22 03:38:50,19.9
2025-02-22 03:43:50,19.9
2025-02-22 03:48:50,19.9
2025-02-22 03:53:50,19.9
2025-02-22 03:58:50,19.9
2025-02-22 04:03:51,19.9
2025-02-22 04:08:51,19.9
2025-02-22 04:13:51,19.8
2025-02-22 04:18:51,19.8
2025-02-22 04:23:51,19.8
2025-02-22 04:28:52,19.8
2025-02-22 04:33:52,19.8
2025-02-22 04:38:52,19.8
2025-02-22 04:43:52,19.8
2025-02-22 04:48:53,19.8
2025-02-22 04:53:53,19.8
2025-02-22 04:58:53,19.8
2025-02-22 05:03:53,19.8
2025-02-22 05:08:53,19.8
2025-02-22 05:13:54,19.8
2025-02-22 05:18:54,19.8
2025-02-22 05:23:54,19.8
2025-02-22 05:28:54,19.8
2025-02-22 05:33:54,19.8
2025-02-22 05:38:55,19.7
2025-02-22 05:43:55,19.7
2025-02-22 05:48:55,19.8
2025-02-22 05:53:55,19.8
2025-02-22 05:58:55,19.8
2025-02-22 06:03:56,19.8
2025-02-22 06:08:56,19.8
2025-02-22 06:13:56,19.7
2025-02-22 06:18:56,19.7
2025-02-22 06:23:57,19.6
2025-02-22 06:28:57,19.5
2025-02-22 06:33:57,19.5
2025-02-22 06:38:57,19.5
2025-02-22 06:43:57,19.5
2025-02-22 06:48:58,19.5
2025-02-22 06:53:58,19.5
2025-02-22 06:58:58,19.5
2025-02-22 07:03:58,19.5
2025-02-22 07:08:58,19.5
2025-02-22 07:13:59,19.5
2025-02-22 07:18:59,19.5
2025-02-22 07:23:59,19.5
2025-02-22 07:28:59,19.5
2025-02-22 07:34:00,19.5
2025-02-22 07:39:00,19.5
2025-02-22 07:44:00,19.5
2025-02-22 07:49:00,19.5
2025-02-22 07:54:00,19.5
2025-02-22 07:59:01,19.5
2025-02-22 08:04:01,19.5
2025-02-22 08:09:01,19.5
2025-02-22 08:14:01,19.5
2025-02-22 08:19:01,19.5
2025-02-22 08:24:02,19.5
2025-02-22 08:29:02,19.5
2025-02-22 08:34:02,19.5
2025-02-22 08:39:02,19.5
2025-02-22 08:44:02,19.5
2025-02-22 08:49:03,19.4
2025-02-22 08:54:03,19.5
2025-02-22 08:59:03,19.5
2025-02-22 09:04:03,19.5
2025-02-22 09:09:04,19.5
2025-02-22 09:14:04,19.5
2025-02-22 09:19:04,19.5
2025-02-22 09:24:04,19.5
2025-02-22 09:29:04,19.5
2025-02-22 09:34:05,19.5
2025-02-22 09:39:05,19.5
2025-02-22 09:44:05,19.5
2025-02-22 09:49:05,19.4
2025-02-22 09:54:05,19.4
2025-02-22 09:59:06,19.4
2025-02-22 10:04:06,19.4
2025-02-22 10:09:06,19.4
2025-02-22 10:14:06,19.4
2025-02-22 10:19:06,19.4
2025-02-22 10:24:07,19.4
2025-02-22 10:29:07,19.4
2025-02-22 10:34:07,19.4
2025-02-22 10:39:07,19.4
2025-02-22 10:44:08,19.4
2025-02-22 10:49:08,19.4
2025-02-22 10:54:08,19.4
2025-02-22 10:59:08,19.5
2025-02-22 11:04:08,19.5
2025-02-22 11:09:09,19.6
2025-02-22 11:14:09,19.7
2025-02-22 11:19:09,19.7
2025-02-22 11:24:09,19.7
2025-02-22 11:29:09,19.7
2025-02-22 11:34:10,19.7
2025-02-22 11:39:10,19.7
2025-02-22 11:44:10,19.7
2025-02-22 11:49:10,19.7
2025-02-22 11:54:10,19.7
2025-02-22 11:59:11,19.7
2025-02-22 12:04:11,19.7
2025-02-22 12:09:11,19.7
2025-02-22 12:14:11,19.7
2025-02-22 12:19:12,19.7
2025-02-22 12:24:12,19.7
2025-02-22 12:29:12,19.7
2025-02-22 12:34:12,19.7
2025-02-22 12:39:12,19.7
2025-02-22 12:44:13,19.8
2025-02-22 12:49:13,19.8
2025-02-22 12:54:13,19.8
2025-02-22 12:59:13,19.8
2025-02-22 13:04:13,19.7
2025-02-22 13:09:14,19.7
2025-02-22 13:14:14,19.7
