FechaHora,Temperatura
02/02/2025 13:30,23.8
02/02/2025 13:35,23.8
02/02/2025 13:40,23.7
02/02/2025 13:45,23.7
02/02/2025 13:50,23.6
02/02/2025 13:55,23.6
02/02/2025 14:00,23.5
02/02/2025 14:05,23.4
02/02/2025 14:10,23.4
02/02/2025 14:15,23.3
02/02/2025 14:20,23.2
02/02/2025 14:25,23.2
02/02/2025 14:30,23.2
02/02/2025 14:35,23.2
02/02/2025 14:40,23.2
02/02/2025 14:45,23.1
02/02/2025 14:50,23.2
02/02/2025 14:55,23.1
02/02/2025 15:00,23.1
02/02/2025 15:05,23.1
02/02/2025 15:10,23.1
02/02/2025 15:15,23.1
02/02/2025 15:20,23.1
02/02/2025 15:25,23.1
02/02/2025 15:30,23.1
02/02/2025 15:35,23.1
02/02/2025 15:40,23.1
02/02/2025 15:45,23.2
02/02/2025 15:50,23.2
02/02/2025 15:55,23.2
02/02/2025 16:00,23.2
02/02/2025 16:05,23.2
02/02/2025 16:10,23.2
02/02/2025 16:15,23.2
02/02/2025 16:20,23.2
02/02/2025 16:25,23.3
02/02/2025 16:30,23.3
02/02/2025 16:35,23.4
02/02/2025 16:40,23.5
02/02/2025 16:45,23.6
02/02/2025 16:50,23.6
02/02/2025 16:55,23.6
02/02/2025 17:00,23.7
02/02/2025 17:05,23.7
02/02/2025 17:10,23.7
02/02/2025 17:15,23.7
02/02/2025 17:20,23.7
02/02/2025 17:25,23.7
02/02/2025 17:30,23.7
02/02/2025 17:35,23.7
02/02/2025 17:40,23.7
02/02/2025 17:45,23.6
02/02/2025 17:50,23.6
02/02/2025 17:55,23.5
02/02/2025 18:00,23.4
02/02/2025 18:05,23.4
02/02/2025 18:10,23.4
02/02/2025 18:15,23.3
02/02/2025 18:20,23.3
02/02/2025 18:25,23.2
02/02/2025 18:30,23.2
02/02/2025 18:35,23.2
02/02/2025 18:40,23.2
02/02/2025 18:45,23.2
02/02/2025 18:50,23.3
02/02/2025 18:55,23.4
02/02/2025 19:00,23.5
02/02/2025 19:05,23.5
02/02/2025 19:10,23.4
02/02/2025 19:15,23.4
02/02/2025 19:20,23.3
02/02/2025 19:25,23.2
02/02/2025 19:30,23.2
02/02/2025 19:35,23.1
02/02/2025 19:40,23.1
02/02/2025 19:45,23.1
02/02/2025 19:50,23
02/02/2025 19:55,23
02/02/2025 20:00,23
02/02/2025 20:05,23
02/02/2025 20:10,23
02/02/2025 20:15,23
02/02/2025 20:20,23.1
02/02/2025 20:25,23.3
02/02/2025 20:30,23.4
02/02/2025 20:35,23.7
02/02/2025 20:40,23.9
02/02/2025 20:45,24
02/02/2025 20:50,24.1
02/02/2025 20:55,24.1
02/02/2025 21:00,24.2
02/02/2025 21:05,24.2
02/02/2025 21:10,24.2
02/02/2025 21:15,24.1
02/02/2025 21:20,24
02/02/2025 21:25,23.9
02/02/2025 21:30,23.8
02/02/2025 21:35,23.8
02/02/2025 21:40,23.8
02/02/2025 21:45,23.8
02/02/2025 21:50,23.9
02/02/2025 21:55,23.9
02/02/2025 22:00,23.9
02/02/2025 22:05,24
02/02/2025 22:10,24.1
02/02/2025 22:15,24.3
02/02/2025 22:20,24.3
02/02/2025 22:25,24.4
02/02/2025 22:30,24.4
02/02/2025 22:35,24.5
02/02/2025 22:40,24.5
02/02/2025 22:45,24.5
02/02/2025 22:50,24.4
02/02/2025 22:55,24.4
02/02/2025 23:00,24.4
02/02/2025 23:05,24.4
02/02/2025 23:10,24.3
02/02/2025 23:15,24.3
02/02/2025 23:20,24.3
02/02/2025 23:25,24.3
02/02/2025 23:30,24.3
02/02/2025 23:35,24.3
02/02/2025 23:40,24.3
02/02/2025 23:45,24.3
02/02/2025 23:50,24.3
02/02/2025 23:55,24.3
03/02/2025 00:00,24.3
03/02/2025 00:05,24.2
03/02/2025 00:10,24.2
03/02/2025 00:15,24.1
03/02/2025 00:20,24.1
03/02/2025 00:25,24.1
03/02/2025 00:30,24.1
03/02/2025 00:35,24.1
03/02/2025 00:40,24
03/02/2025 00:45,24
03/02/2025 00:50,24
03/02/2025 00:55,24
03/02/2025 01:00,24
03/02/2025 01:05,24
03/02/2025 01:10,24
03/02/2025 01:15,24
03/02/2025 01:20,24
03/02/2025 01:25,23.9
